Title,Environments,Aliases,Owners,Primary URL (Site folder name),Department,Notes
Animal Systems Biology,"test, prod","www.animalsystemsbiology.cfans.umn.edu, animalsystemsbiology.stg.umn.edu, animalsystemsbiology.dev.umn.edu, animalsystemsbiology.dl8.umn.edu",lamxx025,animalsystemsbiology.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Block & Bridle Club,"test, prod","www.blockandbridleclub.umn.edu, blockandbridleclub.stg.umn.edu, blockandbridleclub.dev.umn.edu, blockandbridleclub.dl8.umn.edu",lamxx025,blockandbridleclub.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
MN Nutrition Conference,"test, prod","www.mnnutritionconf.umn.edu, mnnutritionconf.stg.umn.edu, mnnutritionconf.dev.umn.edu, mnnutritionconf.dl8.umn.edu",lamxx025,mnnutritionconf.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Fruit,"test, prod","fruit.stg.umn.edu, fruit.dev.umn.edu, fruit.dl8.umn.edu, fruit.umn.edu",lamxx025,fruit.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Roadside Turf,"test, prod","roadsideturf.stg.umn.edu, roadsideturf.dev.umn.edu, roadsideturf.dl8.umn.edu",lamxx025,roadsideturf.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Research Analytical Laboratory,"test, prod","ral.stg.umn.edu, ral.dev.umn.edu, ral.dl8.umn.edu","kpiotr, lamxx025",ral.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
International Wild Barley Sequencing Consortium,prod,"iwbsc.dev.umn.edu, iwbsc.stg.umn.edu","bsteffen, jugov002, lamxx025",iwbsc.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Capstone BBE,prod,"capstonebbe-cfans.dev.umn.edu, capstonebbe-cfans.stg.umn.edu",lamxx025,capstonebbe.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Diversity Enriched Curriculum,prod,"dec.dev.umn.edu, dec.stg.umn.edu",lamxx025,dec.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Turf,"dev, test, prod","www.turf.umn.edu, www.scienceofthegreen.umn.edu, turf.stg.umn.edu, turf.dev.umn.edu, turf.dl8.umn.edu, scienceofthegreen.umn.edu",lamxx025,turf.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Cohen Lab,"test, prod","cohenlab.stg.umn.edu, cohenlab.dev.umn.edu, cohenlab.dl8.umn.edu",lamxx025,cohenlab.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Toner Lab,"test, prod","tonerlab.stg.umn.edu, tonerlab.dev.umn.edu, tonerlab.dl8.umn.edu",lamxx025,tonerlab.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Organic Transition,"test, prod","organictransition.stg.umn.edu, organictransition.dev.umn.edu, organictransition.dl8.umn.edu",lamxx025,organictransition.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Wang Lab,"test, prod","wanglab.stg.umn.edu, wanglab.dev.umn.edu, wanglab.dl8.umn.edu",lamxx025,wanglab.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
William Lazarus,"test, prod","wlazarus.stg.umn.edu, wlazarus.dev.umn.edu, wlazarus.dl8.umn.edu, wlazarus.cfans.umn.edu",lamxx025,wlazarus.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Pesticide Certification,"test, prod","pesticidecert.stg.umn.edu, pesticidecert.dev.umn.edu, pesticidecert.dl8.umn.edu",lamxx025,pesticidecert.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Plant Metabolomics Lab,"test, prod","plantmetabolomics.stg.umn.edu, plantmetabolomics.dev.umn.edu, plantmetabolomics.dl8.umn.edu",lamxx025,plantmetabolomics.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Public Value,"test, prod","publicvalue.stg.umn.edu, publicvalue.dev.umn.edu, publicvalue.dl8.umn.edu, publicvalue.umn.edu",lamxx025,publicvalue.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Minnesota Hardy,"dev, test, prod","mnhardy.dev.umn.edu, mnhardy.stg.umn.edu, www.mnhardy.umn.edu, mnhardy.prd.umn.edu","lamxx025, hvander, mbalak",mnhardy.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Minnesota Agricultural Experiment Station,"dev, test, prod","maes.dev.umn.edu, maes.stg.umn.edu, www.maes.umn.edu, maes.prd.umn.edu","lamxx025, hvander, mbalak",maes.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Entomology,"dev, test, prod","entomology.dev.umn.edu, entomology.stg.umn.edu, www.entomology.umn.edu, entomology.prd.umn.edu, entomology.umn.edu","lamxx025, hvander, cclough, mbalak",entomology.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
MAISRC,"dev, test, prod","maisrc-d8.dev.umn.edu, maisrc-d8.stg.umn.edu, maisrc-d8.prd.umn.edu, www.maisrc.umn.edu",lamxx025,maisrc.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Sand Plain Research Farm,"dev, test, prod","sprf-cfans.dev.umn.edu, sprf-cfans.stg.umn.edu, sprf-cfans.prd.umn.edu, www.sprf.cfans.umn.edu",lamxx025,sprf.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Zhang Lab,prod,"zhanglab-cfans.dev.umn.edu, zhanglab-cfans.stg.umn.edu, zhanglab.cfans.umn.edu",lamxx025,zhanglab.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Oat Global,"dev, prod","oatglobal.dl8.umn.edu, oatglobal-dl8.dev.umn.edu, oatglobal-dl8.stg.umn.edu, www.oatglobal.umn.edu, oatglobal.umn.edu",lamxx025,oatglobal.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
"Dept. of Soil, Water and Climate","dev, test, prod","www.swac.umn.edu, swac.dev.umn.edu, swac.stg.umn.edu, swac.prd.umn.edu",lamxx025,swac.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Food Industry Center,"test, prod","www.foodindustrycenter.umn.edu, foodindustrycenter.stg.umn.edu, foodindustrycenter.dev.umn.edu, foodindustrycenter.dl8.umn.edu",lamxx025,foodindustrycenter.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Long-Term Agricultural Research Network,"test, prod","ltarn.stg.umn.edu, ltarn.dev.umn.edu, ltarn.dl8.umn.edu, ltarn.cfans.umn.edu",lamxx025,ltarn.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Hegeman Lab,"test, prod","hegemanlab.stg.umn.edu, hegemanlab.dev.umn.edu, hegemanlab.dl8.umn.edu",lamxx025,hegemanlab.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Frenatae,"test, prod","www.frenatae.umn.edu, frenatae.stg.umn.edu, frenatae.dev.umn.edu, frenatae.dl8.umn.edu, frenatae.umn.edu",lamxx025,frenatae.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Dietetic Internship,"test, prod","dieteticinternship.stg.umn.edu, dieteticinternship.dev.umn.edu, dieteticinternship.dl8.umn.edu, dieteticinternship.cfans.umn.edu",lamxx025,dieteticinternship.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
MTIC,"test, prod","mtic.stg.umn.edu, mtic.dev.umn.edu, mtic.dl8.umn.edu, mtic.cfans.umn.edu",lamxx025,mtic.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
IIC,"test, prod","www.iic.umn.edu, iic.stg.umn.edu, iic.dev.umn.edu, iic.dl8.umn.edu",lamxx025,iic.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Cereal Disease,"test, prod","cerealdisease.stg.umn.edu, cerealdisease.dev.umn.edu, cerealdisease.dl8.umn.edu, cerealdisease.cfans.umn.edu",lamxx025,cerealdisease.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Waste Not,"test, prod","www.wastenot.umn.edu, wastenot.stg.umn.edu, wastenot.dev.umn.edu, wastenot.dl8.umn.edu",lamxx025,wastenot.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Plant Metabolomics Facility,"dev, test, prod","metabolomics.stg.umn.edu, metabolomics.dev.umn.edu, metabolomics.dl8.umn.edu",lamxx025,metabolomics.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Faulk Lab,"dev, test, prod","faulklab.cfans.umn.edu, faulklab.stg.umn.edu, faulklab.dev.umn.edu, faulklab.dl8.umn.edu",lamxx025,faulklab.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Ledee,"dev, test, prod","www.ledee.cfans.umn.edu, ledee.stg.umn.edu, ledee.dev.umn.edu, ledee.dl8.umn.edu",lamxx025,ledee.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Chironomidae Research Group,"dev, test, prod","midge.stg.umn.edu, midge.dev.umn.edu, midge.dl8.umn.edu, midge.cfans.umn.edu",lamxx025,midge.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
West Central Research and Outreach Center,"dev, test, prod","wcroc-cfans.dev.umn.edu, wcroc-cfans.stg.umn.edu, www.wcroc.cfans.umn.edu, wcroc-cfans.prd.umn.edu",lamxx025,wcroc.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Jumping Worms Project,prod,"jwp-cfans.dev.umn.edu, jwp-cfans.stg.umn.edu",lamxx025,jwp.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Center for Changing Landscapes,prod,"changinglandscapes.dl8.umn.edu, changinglandscapes.dev.umn.edu, changinglandscapes.stg.umn.edu, www.changinglandscapes.umn.edu",lamxx025,changinglandscapes.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Forest Resources,"dev, test, prod","forestry-d8.dev.umn.edu, forestry-d8.stg.umn.edu, www.forestry.umn.edu, forestry-d8.prd.umn.edu, forestry.umn.edu",lamxx025,forestry.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Cloquet Forestry Center,"dev, prod","cfc-cfans-d8.dev.umn.edu, cfc-cfans-d8.stg.umn.edu, cfc-prd.cfans.umn.edu, cfc.cfans.umn.edu",lamxx025,cfc.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Hubachek Wilderness Research Center,"dev, test, prod","hwrc-cfans.dev.umn.edu, hwrc-cfans.stg.umn.edu, hwrc.cfans.umn.edu",lamxx025,hwrc.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Horticulture,"dev, test, prod","horticulture-d8.dev.umn.edu, horticulture-d8.stg.umn.edu, www.horticulture.umn.edu, horticulture-d8.prd.umn.edu, horticulture.cfans.umn.edu, foodsystems.umn.edu, www.foodsystems.umn.edu, plantscience.umn.edu, www.plantscience.umn.edu",lamxx025,horticulture.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Agronomy,"dev, test, prod","agronomy-d8-cfans.dev.umn.edu, agronomy-d8-cfans.stg.umn.edu, www.agronomy.cfans.umn.edu, agronomy.prd.umn.edu",lamxx025,agronomy.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Heimpel Lab,"test, prod","heimpellab.dl8.umn.edu, heimpellab.stg.umn.edu, heimpellab.cfans.umn.edu",lamxx025,heimpellab.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Xiaoli Chen Lab,"test, prod","xiaolichen.dl8.umn.edu, xiaolichen.stg.umn.edu, xiaolichen.cfans.umn.edu",lamxx025,xiaolichen.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Forest Products Management Development Institute,"test, prod","fpmdi.dl8.umn.edu, fpmdi.stg.umn.edu, fpmdi.bbe.umn.edu",lamxx025,fpmdi.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Muehlbauer Lab,"test, prod","muehlbauerlab.dl8.umn.edu, muehlbauerlab.stg.umn.edu, muehlbauerlab.cfans.umn.edu",lamxx025,muehlbauerlab.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Tze Lab,"test, prod","tzelab.dl8.umn.edu, tzelab.stg.umn.edu, tzelab.cfans.umn.edu",lamxx025,tzelab.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Sustainable Cropping,"test, prod","sustainablecropping.dl8.umn.edu, sustainablecropping.stg.umn.edu, www.sustainablecropping.umn.edu",lamxx025,sustainablecropping.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Campus Trees,"test, prod","campustrees.dl8.umn.edu, campustrees.stg.umn.edu, www.campustrees.umn.edu",lamxx025,campustrees.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Tree Ascension Group,"test, prod","tag.dl8.umn.edu, tag.stg.umn.edu, tag.cfans.umn.edu",lamxx025,tag.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Production Ag Symposium,"test, prod","productionagsymposium.dl8.umn.edu, productionagsymposium.stg.umn.edu, productionagsymposium.umn.edu, www.productionagsymposium.umn.edu",lamxx025,productionagsymposium.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
MN Youth Institute,"test, prod","www.mnyi.cfans.umn.edu, mnyi.dl8.umn.edu, mnyi.dev.umn.edu, mnyi.stg.umn.edu",lamxx025,mnyi.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
AquaGen,"test, prod","aquaticgenetics.dl8.umn.edu, aquaticgenetics.dev.umn.edu, aquaticgenetics.stg.umn.edu",lamxx025,aquaticgenetics.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Center for Encapsulation Innovation,"test, prod","encapsulationinnovation.dl8.umn.edu, encapsulationinnovation.stg.umn.edu",lamxx025,encapsulationinnovation.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Fine Fescue,"test, prod","lowinputturf.dl8.umn.edu, lowinputturf.dev.umn.edu, lowinputturf.stg.umn.edu",lamxx025,lowinputturf.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Borlaug Memorial Lecture,"test, prod","www.borlaugmemoriallecture.umn.edu, borlaugmemoriallecture.dl8.umn.edu, borlaugmemoriallecture.stg.umn.edu",lamxx025,borlaugmemoriallecture.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Sadok Lab,"test, prod","sadoklab.dl8.umn.edu, sadoklab.dev.umn.edu, sadoklab.stg.umn.edu",lamxx025,sadoklab.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Yang Lab,"test, prod","yanglab.dl8.umn.edu, yanglab.stg.umn.edu, yanglab.dev.umn.edu",lamxx025,yanglab.bbe.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Stupar Lab,"test, prod","stuparlab.dl8.umn.edu, stuparlab.dev.umn.edu, stuparlab.stg.umn.edu",lamxx025,stuparlab.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Hirsch Lab,"test, prod","hirschlab.dl8.umn.edu, hirschlab.dev.umn.edu, hirschlab.stg.umn.edu",lamxx025,hirschlab.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
BioCON,"test, prod","biocon.dl8.umn.edu, biocon.stg.umn.edu, www.biocon.umn.edu",lamxx025,biocon.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Sensory Center,"test, prod","sensorycenter.cfans.umn.edu, sensorycenter.stg.umn.edu, sensorycenter.dl8.umn.edu",lamxx025,sensorycenter.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
MN Coop,"test, prod","mncoopunit.cfans.umn.edu, mncoopunit.dl8.umn.edu, mncoopunit.stg.umn.edu",lamxx025,mncoopunit.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Partnership for River Restoration and Science in the Upper Midwest,"test, prod","prrsum.dl8.umn.edu, prrsum.stg.umn.edu, prrsum.dev.umn.edu","lamxx025, chapm155",prrsum.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Bo Hu Research Group,"test, prod","bohu.dl8.umn.edu, bohu.dev.umn.edu, bohu.stg.umn.edu",lamxx025,bohu.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Wilson Lab,prod,wilsonlab-cfans.dev.umn.edu,"nordstro, wilso984, lamxx025",wilsonlab.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Rogers Lab,prod,"rogerslab-cfans.dl8.umn.edu, rogerslab-cfans-dl8.dev.umn.edu",lamxx025,rogerslab.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Pesky Plant Trackers,prod,peskyplants.dev.umn.edu,"and04598, lamxx025, rebeccam",peskyplants.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Barney Bioproducts Lab,"test, prod","barneybioproductslab.dl8.umn.edu, barneybioproductslab.stg.umn.edu, barneybioproductslab.cfans.umn.edu",lamxx025,barneybioproductslab.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Larkin Lab,"test, prod","larkinlab.dl8.umn.edu, larkinlab.stg.umn.edu, larkinlab.cfans.umn.edu",lamxx025,larkinlab.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
UMN Soybean Breeding Program,"dev, test, prod","soybeanbreeding.dl8.umn.edu, soybeanbreeding.stg.umn.edu, soybeanbreeding.cfans.umn.edu",lamxx025,soybeanbreeding.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Cory Hirsch lab,"test, prod","coryhirschlab.stg.umn.edu, coryhirschlab.dev.umn.edu, coryhirschlab.dl8.umn.edu, coryhirschlab.cfans.umn.edu",lamxx025,coryhirschlab.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
"Agricultural Education, Communication and Marketing","dev, test, prod","ag-ed-cfans.dev.umn.edu, ag-ed-cfans.stg.umn.edu, ag-ed-cfans.prd.umn.edu, www.ag-ed.cfans.umn.edu",lamxx025,ag-ed.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Dept. of Applied Economics,"dev, test, prod","apec.dev.umn.edu, apec.stg.umn.edu, apec.prd.umn.edu, www.apec.umn.edu, apecgrad.umn.edu, www.apecgrad.umn.edu",lamxx025,apec.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Dept. of Plant Pathology,"dev, test, prod","plpa-cfans.dev.umn.edu, plpa-cfans.stg.umn.edu, plpa-cfans.prd.umn.edu, www.plpa.cfans.umn.edu",lamxx025,plpa.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
"Dept. of FIsheries, Wildlife and Conservation Biology","dev, test, prod","fwcb-cfans.dev.umn.edu, fwcb-cfans.stg.umn.edu, fwcb-cfans.prd.umn.edu, www.fwcb.cfans.umn.edu",lamxx025,fwcb.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Jason Hill Lab,"dev, test, prod","hill.dev.umn.edu, hill.stg.umn.edu, hill.dl8.umn.edu, hill.cfans.umn.edu",lamxx025,hill.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Wasp Watchers,"test, prod","waspwatchers.dl8.umn.edu, waspwatchers.dev.umn.edu, waspwatchers.stg.umn.edu, waspwatchers.umn.edu",lamxx025,waspwatchers.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Animal Science,"dev, test, prod","ansci-d8.dev.umn.edu, ansci-d8.stg.umn.edu, ansci-d8.prd.umn.edu, www.ansci.umn.edu, ansci.umn.edu",lamxx025,ansci.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Land Water Place,prod,"landwaterplace.umn.edu, landwaterplace.dev.umn.edu","pdn, holr0002, lamxx025",landwaterplace.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Forestry Club,"test, prod","forestryclub.dl8.umn.edu, forestryclub.stg.umn.edu, forestryclub.cfans.umn.edu, forestryclub.umn.edu",lamxx025,forestryclub.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Shri Ramaswamy's Research Group,"test, prod","shri.dl8.umn.edu, shri.stg.umn.edu, shri.dev.umn.edu, shri.bbe.umn.edu",lamxx025,shri.bbe.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Larry Baker Lab,"test, prod","larrybakerlab.dev.umn.edu, larrybakerlab.stg.umn.edu, larrybakerlab.dl8.umn.edu",lamxx025,larrybakerlab.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Fieberg Lab,"test, prod","fieberg-lab.dl8.umn.edu, fieberg-lab.stg.umn.edu, fieberg-lab.dev.umn.edu, fieberg-lab.cfans.umn.edu","jfieberg, lamxx025",fieberg-lab.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Enology,"test, prod","enology.dl8.umn.edu, enology.dev.umn.edu, enology.stg.umn.edu, www.enology.umn.edu, enology.umn.edu",lamxx025,enology.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Intense Pulsed Light for Food Safety,"test, prod","iplforfoodsafety.dl8.umn.edu, iplforfoodsafety.stg.umn.edu, iplforfoodsafety.dev.umn.edu, iplforfoodsafety.cfans.umn.edu",lamxx025,iplforfoodsafety.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
CFANS,"dev, test, prod","cfans.dev.umn.edu, cfans.stg.umn.edu, cfans.prd.umn.edu, cfans.umn.edu, www.cfans.umn.edu",lamxx025,cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
CFANS Intranet,"dev, test, prod","intranet-cfans.dev.umn.edu, intranet-cfans.stg.umn.edu, intranet-cfans.prd.umn.edu, intranet.cfans.umn.edu",lamxx025,intranet.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Wild Rice,"dev, test, prod","wildrice.dev.umn.edu, wildrice.stg.umn.edu, wildrice.umn.edu, www.wildrice.umn.edu",lamxx025,wildrice.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Assessing Vegetation Impacts from Deer,"test, prod","avid.dl8.umn.edu, avid.stg.umn.edu, avid.dev.umn.edu, avid.umn.edu",lamxx025,avid.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
swroc.cfans.umn.edu,"dev, test, prod","swroc-cfans.dev.umn.edu, swroc-cfans.stg.umn.edu, swroc-cfans.prd.umn.edu, swroc.cfans.umn.edu, www.swroc.cfans.umn.edu",lamxx025,swroc.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Center for Biorefining,"test, prod","biorefining.dl8.umn.edu, biorefining.stg.umn.edu, biorefining.cfans.umn.edu",lamxx025,biorefining.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Master Woodland Owner,prod,"mwop.dl8.umn.edu, mwop.dl8.dev.umn.edu, mwop.dl8.stg.umn.edu, mwop.umn.edu",lamxx025,mwop.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Aquaponics,"test, prod","www.aquaponics.umn.edu, aquaponics.dev.umn.edu, aquaponics.stg.umn.edu, aquaponics.dl8.umn.edu, aquaponics.umn.edu",lamxx025,aquaponics.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Ismail Lab,"test, prod","ismaillab.stg.umn.edu, ismaillab.dev.umn.edu, ismaillab.dl8.umn.edu, ismaillab.cfans.umn.edu",lamxx025,ismaillab.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Dept. of Food Science & Nutrition,"dev, test, prod","fscn-cfans.dev.umn.edu, fscn-cfans.stg.umn.edu, fscn-cfans.prd.umn.edu",lamxx025,fscn.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
SW MN Farm Business Management Association,prod,"swfm.umn.edu, swfm.dev.umn.edu",lamxx025,swfm.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Minnesota Tree Care Advocate,"test, prod","mntca.dl8.umn.edu, mntca.dev.umn.edu, mntca.stg.umn.edu, www.mntca.umn.edu","lamxx025, reich343",mntca.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
10 Plants,prod,"top10plantsmn.umn.edu, top10plantsmn.dev.umn.edu",lamxx025,top10plantsmn.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Kumar Mallikarjunan Lab,prod,mallikarjunan.cfans.umn.edu,lamxx025,mallikarjunan.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
"Fisheries, Wildlife, and Conservation Biology Club",prod,"fwcbclub.dl8.umn.edu, fwcbclub.cfans.umn.edu","mower022, lamxx025",fwcbclub.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Hove Lab,prod,hovelab.dl8.umn.edu,"hovex002, lamxx025",hovelab.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Twin Cities Coyote and Fox Project,prod,,"mccan062, lamxx025",tccfp.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Gary's Bees,"test, prod","garybees.dl8.umn.edu, garybees.cfans.umn.edu, garybees.stg.umn.edu","reute001, lamxx025",garybees.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
MOSH - Minnesota Office for Soil Health,"dev, test, prod","mosh.umn.edu, mosh.dl8.umn.edu, mosh.dev.umn.edu, mosh.stg.umn.edu",lamxx025,mosh.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Gomez Lab,"test, prod","gomezlab.dl8.umn.edu, gomezlab.stg.umn.edu, gomezlab.dev.umn.edu","davi2714, lamxx025",gomezlab.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Precision Agriculture Center,"test, prod","precisionag.dl8.umn.edu, precisionag.stg.umn.edu, precisionag.dev.umn.edu, www.precisionag.umn.edu","nordstro, lamxx025",precisionag.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
hrdmn.umn.edu,prod,"hrdmn.dl8.umn.edu, hrdmn.cfans.umn.edu","bheld, lamxx025",hrdmn.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Gutknecht Lab,prod,"gutknechtlab.dl8.umn.edu, gutknechtlab.cfans.umn.edu","nordstro, lamxx025",gutknechtlab.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
grasses.dl8.umn.edu,"test, prod","grasses.dl8.umn.edu, grasses.stg.umn.edu, grasses.dev.umn.edu, grasses.cfans.umn.edu","meyer023, lamxx025",grasses.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Enhancing Soil Health in U.S. Potato Production Systems | Specialty Crops Research Initiative,prod,"potatosoilhealth.dl8.umn.edu, potatosoilhealth.cfans.umn.edu","crant002, lamxx025",potatosoilhealth.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
wildricebreedingandgenetics.umn.edu,prod,wildricebreedingandgenetics.dl8.umn.edu,"jkimball, lamxx025",wildricebreedingandgenetics.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
schoenfusslab.umn.edu,"test, prod","schoenfusslab.dl8.umn.edu, schoenfusslab.stg.umn.edu, schoenfusslab.dev.umn.edu, schoenfusslab.umn.edu","tschoenf, lamxx025",schoenfusslab.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Cover it up!,prod,coveritup.umn.edu,"knosa003, parti032, lamxx025",coveritup.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Grossman Lab,"dev, test, prod","grossmanlab.dl8.umn.edu, grossmanlab.dev.umn.edu, grossmanlab.stg.umn.edu",lamxx025,grossmanlab.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
Land-Grant Legacy Scholars,prod,lgls.cfans.umn.edu,lamxx025,lgls.cfans.umn.edu,"CFANS - Food, Ag, & Natural Resource Sci",
