Title,Environments,Aliases,Owners,Primary URL (Site folder name),Department,Notes
Faculty.umn.edu,"dev, test, prod","faculty-d8.dev.umn.edu, faculty-d8.stg.umn.edu, www.faculty.umn.edu","meyer150, lang0925, swart113",faculty.umn.edu,AAP - VP of Academic Affairs/Provost,
institute for advanced studies,"dev, test, prod","ias-d8.dev.umn.edu, ias-d8.stg.umn.edu, ias-d8.prd.umn.edu, ias.umn.edu, www.ias.umn.edu","meyer150, lang0925, swart113",ias.umn.edu,AAP - VP of Academic Affairs/Provost,
Works,"dev, test, prod","works.dev.umn.edu, works.stg.umn.edu, works.prd.umn.edu, www.works.umn.edu","meyer150, lang0925, swart113",works.umn.edu,AAP - VP of Academic Affairs/Provost,
Undergraduate Research,"dev, test, prod","ugresearch.dev.umn.edu, ugresearch.stg.umn.edu, ugresearch.umn.edu, www.ugresearch.umn.edu","meyer150, lang0925, swart113",ugresearch.umn.edu,AAP - VP of Academic Affairs/Provost,
College Readiness Consortium,"dev, test, prod","collegeready.dev.umn.edu, collegeready.stg.umn.edu, collegeready.umn.edu","meyer150, lang0925, swart113",collegeready.umn.edu,AAP - VP of Academic Affairs/Provost,
Grand Challenge Curriculum,"dev, test, prod","gcc.dev.umn.edu, gcc.stg.umn.edu","lang0925, meyer150, swart113",gcc.umn.edu,AAP - VP of Academic Affairs/Provost,
Chemistry and Math Placement,"dev, test, prod","placement.dev.umn.edu, placement.stg.umn.edu","lang0925, meyer150, swart113",placement.umn.edu,AAP - VP of Academic Affairs/Provost,
seru.umn.edu,"dev, prod","seru.dev.umn.edu, seru.stg.umn.edu, www.seru.umn.edu","lang0925, meyer150",seru.umn.edu,AAP - VP of Academic Affairs/Provost,
Provost.umn.edu,"dev, test, prod","provost-d8.dev.umn.edu, provost-d8.stg.umn.edu, provost-d8.prd.umn.edu, provost.umn.edu, www.provost.umn.edu","meyer150, lang0925, swart113",provost.umn.edu,AAP - VP of Academic Affairs/Provost,
Urban Research And Outreach-Engagement Center,"dev, test, prod","uroc-d8.dev.umn.edu, uroc-d8.stg.umn.edu, www.uroc.umn.edu, trp.uroc.umn.edu","meyer150, lang0925, swart113",uroc.umn.edu,AAP - VP of Academic Affairs/Provost,
Youth Central,"dev, test, prod","youthcentral-d8.dev.umn.edu, youthcentral-d8.stg.umn.edu, youthcentral.umn.edu, youth.umn.edu, www.youth.umn.edu, www.youthcentral.umn.edu, preview.youth.umn.edu, youthcentral.prd.umn.edu","meyer150, lang0925, swart113",youthcentral.umn.edu,AAP - VP of Academic Affairs/Provost,
WAC,"dev, test, prod","wac.dev.umn.edu, wac.stg.umn.edu, wec.umn.edu, www.wec.umn.edu, preview.wec.umn.edu, blog.tww.umn.edu","meyer150, lang0925, swart113",wac.umn.edu,AAP - VP of Academic Affairs/Provost,
Center for Academic Planning and Exploration,"dev, test, prod","cape.dev.umn.edu, cape.stg.umn.edu, cape.umn.edu, cape.prd.umn.edu, www.cape.umn.edu, capeinternational.umn.edu","meyer150, lang0925, swart113",cape.umn.edu,AAP - VP of Academic Affairs/Provost,
Academy of Distinguished Teachers,"dev, test, prod","adt.dl8.umn.edu, adt.dev.umn.edu, adt.stg.umn.edu, adt.umn.edu, www.adt.umn.edu","meyer150, lang0925, swart113",adt.umn.edu,AAP - VP of Academic Affairs/Provost,
Center for Educational Innovation,"dev, test, prod","cei-d8.dev.umn.edu, cei-d8.stg.umn.edu, cei.prd.umn.edu, www.cei.umn.edu, www.thankateacher.umn.edu, thankateacher.umn.edu, facultyguidetoteamwork.umn.edu, teamwork.umn.edu, cei.umn.edu","meyer150, lang0925, swart113",cei.umn.edu,AAP - VP of Academic Affairs/Provost,
Imagine Fund,"dev, test, prod","imaginefund.umn.edu, www.imaginefund.umn.edu, imaginefund-d8.dev.umn.edu, imaginefund-d8.stg.umn.edu, imaginefund-d8.umn.edu, artsandhumanities.umn.edu, www.artsandhumanities.umn.edu","meyer150, lang0925, swart113",imaginefund.umn.edu,AAP - VP of Academic Affairs/Provost,
Scholars Walk,"dev, test, prod","scholarswalk.dev.umn.edu, scholarswalk.stg.umn.edu, scholarswalk.umn.edu, www.scholarswalk.umn.edu","meyer150, swart113, lang0925",scholarswalk.umn.edu,AAP - VP of Academic Affairs/Provost,
Be WELL,prod,"bewell.dev.umn.edu, bewell.stg.umn.edu",engeb013,bewell.umn.edu,AHC - Academic Health Center,
M Simulation,"dev, test, prod","simulation-d8.dev.umn.edu, simulation-d8.stg.umn.edu, www.simulation.umn.edu, msimulation.umn.edu, www.msimulation.umn.edu, simportal.umn.edu, www.simportal.umn.edu, simulation.umn.edu","dlv, broek023, fuchs142, incex011, marks265",simulation.umn.edu,AHC - Academic Health Center,
Student Research Resources,"dev, test, prod","studentresearch.dl8.umn.edu, studentresearch.stg.umn.edu, studentresearch.umn.edu, studentresearch.nursing.umn.edu",pfan0001,studentresearch.umn.edu,AHC - Academic Health Center,
Health Sciences Education Center,prod,"hsec.umn.edu, hsec.dev.umn.edu",engeb013,hsec.umn.edu,AHC - Academic Health Center,
Masonic Cancer Center,"dev, test, prod","cancer-d8.dev.umn.edu, cancer-d8.stg.umn.edu, cancer.umn.edu, www.cancer.umn.edu, cancer.prd.umn.edu, ccgg.umn.edu","jalkire, anderslj, dlv, fuchs142, incex011, broek023, marks265, nuebl001",cancer.umn.edu,AHC - Academic Health Center,
Minnesota Northstar Geriatrics Workforce Enhancement Program,"test, prod","mngwep.umn.edu, mngwep.dev.umn.edu, mngwep.stg.umn.edu",dlv,mngwep.umn.edu,AHC - Academic Health Center,
Biostats Information for Clinicians,"dev, test, prod","biostats4you.dev.umn.edu, biostats4you.stg.umn.edu, biostats4you.umn.edu","angus025, khanx091, dougl361",biostats4you.umn.edu,AHC - Academic Health Center,
Arboretum,"dev, test, prod","arb.stg.umn.edu, arb.dev.umn.edu, arb.dl9.umn.edu, budbreak.umn.edu, tasteandtoast.umn.edu, www.tasteandtoast.umn.edu, arbtravel.umn.edu, arbvol.umn.edu, volunteer.arb.umn.edu, emgconference.umn.edu, arboretum.umn.edu, www.arboretum.umn.edu, arbconservation.umn.edu, www.arb.umn.edu","lamxx025, tlany, elada003, rodr1019, schla503, wils2865, sbed",arb.umn.edu,ARB - Arboretum,
D10 University of Minnesota Catalogs,"dev, test, prod","catalogs-d10.dev.umn.edu, catalogs-d10.stg.umn.edu, catalogs.prd.umn.edu, www.catalogs.umn.edu, catalog.umn.edu, www.catalog.umn.edu",ande7947,catalogs.umn.edu,ASR - Academic Support Resources,
DORS Support,"dev, test, prod","dors.stg.umn.edu, dors.dev.umn.edu, dors.dl9.umn.edu","nicol072, thillesh",dors.umn.edu,ASR - Academic Support Resources,
One Stop Rochester,"dev, test, prod","onestop-r.dev.umn.edu, onestop-r.stg.umn.edu, onestop-r.prd.umn.edu","dlagerro, eeklund, whit0694, isen0011, thoma127, ande7947, simps614",onestop.r.umn.edu,ASR - Academic Support Resources,
One Stop Morris,"dev, test, prod","onestop-morris.dev.umn.edu, onestop-morris.stg.umn.edu, onestop-morris.prd.umn.edu, www.onestop.morris.umn.edu","dlagerro, eeklund, whit0694, isen0011, thoma127, ande7947, simps614",onestop.morris.umn.edu,ASR - Academic Support Resources,
One Stop Crookston,"dev, test, prod","onestop-crk.dev.umn.edu, onestop-crk.stg.umn.edu, onestop-crk-d9.prd.umn.edu","dlagerro, eeklund, whit0694, isen0011, thoma127, ande7947, simps614",onestop.crk.umn.edu,ASR - Academic Support Resources,
One Stop Duluth,"dev, test, prod","onestop-dl.dev.umn.edu, onestop-dl.stg.umn.edu, onestop-dl.prd.umn.edu","dlagerro, eeklund, whit0694, isen0011, thoma127, ande7947, simps614",onestop.d.umn.edu,ASR - Academic Support Resources,
One Stop Twin Cities,"dev, test, prod","onestop-tc.dev.umn.edu, onestop-tc.stg.umn.edu, onestop-tc.prd.umn.edu, www.onestop.umn.edu","thoma127, isen0011, whit0694, dlagerro, eeklund, ande7947, moha1234, simps614",onestop.umn.edu,ASR - Academic Support Resources,
Academic Support Resources,"test, prod","asr.dev.umn.edu, asr.stg.umn.edu, asr.dl8.umn.edu, www.asr.umn.edu, asr.umn.edu",saracokl,asr.umn.edu,ASR - Academic Support Resources,
Gopher E-Sports,prod,"gopheresports.dev.umn.edu, gopheresports.stg.umn.edu",goon,gopheresports.umn.edu,ATH - Athletics,
UMN Universal Access,"dev, test, prod","ua.dev.umn.edu, ua.stg.umn.edu, ea.umn.edu, universalaccess.umn.edu, courseworks.umn.edu, ua.umn.edu",irsfe008,courseworks.umn.edu,AUXS - Auxiliary Services,
